Timestamp,Window Title,Application Name,Category,Status
2024-06-29 23:38:18,as-aravinthakshan@HP-ProBook: ~/Desktop/tracker,gnome-terminal-server,Uncategorized,Active
2024-06-29 23:41:10,as-aravinthakshan@HP-ProBook: ~/Desktop/tracker,gnome-terminal-server,Uncategorized,Active
2024-06-29 23:41:15,.net application - Google Search — Mozilla Firefox Private Browsing,firefox,Productivity,Active
2024-06-29 23:41:20,New Tab — Mozilla Firefox Private Browsing,firefox,Productivity,Active
2024-06-29 23:41:25,New Tab — Mozilla Firefox Private Browsing,firefox,Productivity,Active
2024-06-29 23:41:31,New Tab — Mozilla Firefox Private Browsing,firefox,Productivity,Active
2024-06-29 23:41:36,wrwrwr - Google Search — Mozilla Firefox Private Browsing,firefox,Productivity,Active
2024-06-29 23:41:41,as-aravinthakshan@HP-ProBook: ~/Desktop/tracker,gnome-terminal-server,Uncategorized,Active
2024-06-29 23:41:46,Time Logger & Tracker App — Mozilla Firefox,firefox,Productivity,Active
2024-06-29 23:41:51,workflow.ipynb - lt - Visual Studio Code,code,Development,Active
2024-06-29 23:41:56,workflow.ipynb - lt - Visual Studio Code,code,Development,Active
2024-06-29 23:42:01,usage_log.csv - LibreOffice Calc,soffice.bin,Uncategorized,Active
2024-06-29 23:42:06,usage_log.csv - LibreOffice Calc,soffice.bin,Uncategorized,Active
2024-06-29 23:42:11,LibreOffice,soffice.bin,Uncategorized,Active
2024-06-29 23:42:16,workflow.ipynb - lt - Visual Studio Code,code,Development,Active
2024-06-29 23:42:21,workflow.ipynb - lt - Visual Studio Code,code,Development,Active
2024-06-29 23:42:26,Inbox (337) - aravinthakshanmain@gmail.com - Gmail — Mozilla Firefox,firefox,Productivity,Active
2024-06-29 23:42:32,Inbox (337) - aravinthakshanmain@gmail.com - Gmail — Mozilla Firefox,firefox,Productivity,Active
2024-06-29 23:42:37,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:42:42,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:42:47,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:42:52,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:42:57,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:02,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:07,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:12,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:17,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:22,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:27,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:32,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:37,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:42,as-aravinthakshan@HP-ProBook: ~/Desktop/tracker,gnome-terminal-server,Uncategorized,Active
2024-06-29 23:43:47,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:52,System Monitor,gnome-system-monitor,Uncategorized,Active
2024-06-29 23:43:57,"@!1366,0;BDHF",gjs,Uncategorized,Active
2024-06-29 23:44:02,"@!1366,0;BDHF",gjs,Uncategorized,Active
2024-06-29 23:44:07,as-aravinthakshan@HP-ProBook: ~/Desktop/tracker,gnome-terminal-server,Uncategorized,Active
2024-06-29 23:44:12,tracker,nautilus,Uncategorized,Active
2024-06-29 23:44:17,tracker,nautilus,Uncategorized,Active
2024-06-29 23:44:22,usage_log.csv - tracker - Visual Studio Code,code,Development,Active
2024-06-29 23:44:27,New Tab — Mozilla Firefox,firefox,Productivity,Active
2024-06-29 23:44:33,Program Projects | Google Summer of Code — Mozilla Firefox,firefox,Productivity,Active
2024-06-29 23:44:38,ICOABCD 2024 | ICoABCD — Mozilla Firefox,firefox,Productivity,Active
2024-06-29 23:44:43,as-aravinthakshan@HP-ProBook: ~/Desktop/tracker,gnome-terminal-server,Uncategorized,Active
